"ID"	"W.noSC"	"uW.noSC"	"cc.noSC"	"age"	"sex"	"class"	"schoolt"	"schooltype"	"W.wSC"	"uW.wSC"	"cc.wSC"	"Schultyp"	"school"	"stype"
"242"	242	187	116	1.2	15	"m"	10	"1"	"R"	167	115	NA	"1"	"Realschule"	"R"
"243"	243	236	135	0.95	16	"m"	10	"1"	"R"	209	133	NA	"1"	"Realschule"	"R"
"244"	244	157	87	1.43	15	"m"	10	"1"	"R"	137	86	NA	"1"	"Realschule"	"R"
"245"	245	250	126	0.9	16	"w"	10	"1"	"R"	224	125	NA	"1"	"Realschule"	"R"
"246"	246	190	115	1.19	15	"w"	10	"1"	"R"	171	114	NA	"1"	"Realschule"	"R"
"247"	247	137	81	1.64	16	"m"	10	"1"	"R"	118	80	NA	"1"	"Realschule"	"R"
"248"	248	179	94	1.26	15	"w"	10	"1"	"R"	165	93	NA	"1"	"Realschule"	"R"
"249"	249	227	111	0.99	15	"w"	10	"1"	"R"	200	110	NA	"1"	"Realschule"	"R"
"250"	250	124	77	1.82	16	"m"	10	"1"	"R"	107	76	NA	"1"	"Realschule"	"R"
"251"	251	107	70	2.1	15	"m"	10	"1"	"R"	96	69	NA	"1"	"Realschule"	"R"
"252"	252	272	129	0.83	15	"w"	10	"1"	"R"	244	128	NA	"1"	"Realschule"	"R"
"253"	253	328	143	0.69	15	"w"	10	"1"	"R"	301	142	NA	"1"	"Realschule"	"R"
"254"	254	97	60	2.32	15	"m"	10	"1"	"R"	84	59	NA	"1"	"Realschule"	"R"
"255"	255	81	52	2.78	16	"m"	10	"1"	"R"	66	51	NA	"1"	"Realschule"	"R"
"256"	256	71	46	3.17	15	"m"	10	"1"	"R"	61	45	NA	"1"	"Realschule"	"R"
